id,district,ds_division,gn_division,address,disaster_type,affected_families,affected_people
195,Nuwara Eliya,Ambagamuwa Korale,Sellipigama,"D 23 Abagamuwa, Udubulathgama",Landslide,1,7
196,Nuwara Eliya,Ambagamuwa Korale,Sellipigama,"Nagolla, Agaraoya, Abagamuwa",Landslide,1,5
197,Nuwara Eliya,Ambagamuwa Korale,Sellipigama,"Agaraoya, Abagamuwa, Udubulathgama",Landslide,1,4
198,Nuwara Eliya,Ambagamuwa Korale,Ambagamuwa South,"Abagamuwa, Udubulathgama",Landslide,1,6
199,Nuwara Eliya,Ambagamuwa Korale,Jambuthenna,"Muruthathenna, Koththallena, Hatton",Landslide,1,5
200,Nuwara Eliya,Ambagamuwa Korale,Ambagamuwa South,"Ambagamuwa, Udubulathgama",Landslide,1,4
201,Nuwara Eliya,Ambagamuwa Korale,Sellipigama,"New St Clive Janapadaya, Abagamuwa, Udubulathgama",Landslide,1,5
202,Nuwara Eliya,Ambagamuwa Korale,Ambagamuwa South,"Bagathuluwa, Ginigathhena",Landslide,1,5
203,Nuwara Eliya,Ambagamuwa Korale,Kalaweldeniya,"Aberdine 2, Widulipura",Landslide,1,4
204,Nuwara Eliya,Ambagamuwa Korale,Dagampitiya,"Dewalagama, Pallewatta, Pitawala",Landslide,1,5
205,Nuwara Eliya,Ambagamuwa Korale,Ambagamuwa East,"Wewalthalawa, Abagamuwa",Landslide,1,5
206,Nuwara Eliya,Ambagamuwa Korale,Ambagamuwa North,"Coolborn Road, Abagamuwa, Udubulathgama",Landslide,1,4
207,Nuwara Eliya,Ambagamuwa Korale,Kalugala,"Yatiberiya, Pitawla",Landslide,1,6
208,Nuwara Eliya,Ambagamuwa Korale,Kalugala,"Pitawala, Nawalapitiya",Landslide,1,6
209,Nuwara Eliya,Ambagamuwa Korale,Dagampitiya,"Kaluduriyapaluwa, Pallewatta, Pitawala",Landslide,1,5
210,Nuwara Eliya,Ambagamuwa Korale,Kalugala,"Kalugala, Pitawala, Nawalapitiya",Landslide,1,7
211,Nuwara Eliya,Ambagamuwa Korale,Habbakanda,"Habbakanda, Ginigathhena",Landslide,1,6
212,Nuwara Eliya,Ambagamuwa Korale,Jambuthenna,"Gadumawatta, Koththalhena, Hatton",Landslide,1,5
213,Nuwara Eliya,Ambagamuwa Korale,Dehigasthenna,"New house, Abathalawa, Ginigathhena",Landslide,1,7
214,Nuwara Eliya,Ambagamuwa Korale,Widulipura South,"Hatton Road, Nortonbridge",Landslide,1,5
215,Nuwara Eliya,Ambagamuwa Korale,Waggama,"Haddala, Morahenagama",Landslide,1,5
216,Nuwara Eliya,Ambagamuwa Korale,Ginigathhena,"Kadawawatta, Watawala",Landslide,2,15
217,Nuwara Eliya,Ambagamuwa Korale,Watawala,"Agarawatta, Watawala",Landslide,1,7
218,Nuwara Eliya,Ambagamuwa Korale,Jambuthenna,"Muruthathenna, Koththallena, Hatton",Landslide,1,6
219,Nuwara Eliya,Ambagamuwa Korale,Dagampitiya,"Nilawatta, Pallewatta, Pitawala",Landslide,1,6
220,Nuwara Eliya,Ambagamuwa Korale,Watawala,"101 Janapadaya, Watawala",Landslide,1,5
221,Nuwara Eliya,Ambagamuwa Korale,Widulipura North,"Taplo Janapadaya, Widulipura, North",Landslide,1,9
222,Nuwara Eliya,Ambagamuwa Korale,Polpitiya,"Polpitiya, Hatton",Landslide,1,6
223,Nuwara Eliya,Ambagamuwa Korale,314 Ambagamuwa South,"Bagathuluwa, Ginigathhena",Landslide,5,30
224,Nuwara Eliya,Ambagamuwa Korale,314 Ambagamuwa South,"Mandaladeniya, Abagamuwa",Landslide,2,14
225,Nuwara Eliya,Ambagamuwa Korale,314 Ambagamuwa South,"Ambagamuwa, Market Street",Landslide,4,26
226,Nuwara Eliya,Ambagamuwa Korale,314 Ambagamuwa South,"Abagawwa, Udubulathgama",Landslide,1,5
227,Nuwara Eliya,Ambagamuwa Korale,314 Ambagamuwa South,"Mandaladeniya, Abagamuwa",Landslide,2,11
228,Nuwara Eliya,Ambagamuwa Korale,314 Ambagamuwa South,"Ambagamuwa Village, Abagamuwa, Udupulathgama",Landslide,1,8
229,Nuwara Eliya,Ambagamuwa Korale,314 A Ambagamuwa East,"Panvilagodella, Abagamuwa, Udubulathgama",Landslide,1,7
230,Nuwara Eliya,Ambagamuwa Korale,314 B Abagamuwa North,"Ambagamuwa, Udubulathgama",Landslide,12,73
231,Nuwara Eliya,Ambagamuwa Korale,314 C Sellipigama,Sellipigama,Landslide,1,9
232,Nuwara Eliya,Ambagamuwa Korale,314 D Homagama,"Arsalena Janapadaya, Kalaweldeniya, Ginigathhena",Landslide,2,11
233,Nuwara Eliya,Ambagamuwa Korale,314 D Homagama,"Homagama, Kalaweldeniya, Ginigathhena",Landslide,2,13
234,Nuwara Eliya,Ambagamuwa Korale,314 D Homagama,"Arsalena Janapadaya, Kalaweldeniya, Ginigathhena",Landslide,1,7
235,Nuwara Eliya,Ambagamuwa Korale,314 E Kalaweldeniya,"Kalaweldeniya, Ginigathhena",Landslide,6,37
236,Nuwara Eliya,Ambagamuwa Korale,314 F Dehigasthenna,"Abathalawa, Ginigathhena",Landslide,1,6
237,Nuwara Eliya,Ambagamuwa Korale,314 F Dehigasthenna,"2 Kanuwa, Atlas",Landslide,1,4
238,Nuwara Eliya,Ambagamuwa Korale,314 F Dehigasthenna,"Abathalawa, Ginigathhena",Landslide,1,6
239,Nuwara Eliya,Ambagamuwa Korale,314 F Dehigasthenna,"Ellauda Village, Upper part, Sadaham Sisila Temple",Landslide,1,7
240,Nuwara Eliya,Ambagamuwa Korale,314 F Dehigasthenna,"Ambathalawa, Ginigathhena",Landslide,1,6
241,Nuwara Eliya,Ambagamuwa Korale,314 F Dehigasthenna,"Dehigasthenna, Galayatawatta",Landslide,1,5
242,Nuwara Eliya,Ambagamuwa Korale,314 F Dehigasthenna,"Mallika Janapada, Abathalawa",Landslide,1,4
243,Nuwara Eliya,Ambagamuwa Korale,314 F Dehigasthenna,"Godagedara, Abathalawa",Landslide,1,5
244,Nuwara Eliya,Ambagamuwa Korale,314 G Habbakanda,"Godagedara, Abathalawa",Landslide,1,8
245,Nuwara Eliya,Ambagamuwa Korale,314 G Habbakanda,"Horakada, Abathalawa",Landslide,1,6
246,Nuwara Eliya,Ambagamuwa Korale,314 G Habbakanda,"Badullawatta, Habbakanda",Landslide,1,7
247,Nuwara Eliya,Ambagamuwa Korale,314 G Habbakanda,"Habbakanda, Ginigathhena",Landslide,1,8
